ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date,Monitor Name(s),Daylight Hours,Temperature Low (F),Temperature High (F),Soil Moisture (%),Inundation Treatment,Replicate,Species,Other - Species,Population,Other - Population,Density Treatment,Plant ID,Phenological Stage,Other - Phenological Stage,Notes,Water Level (cm),Plant ID,x,y
26,6dec406d-a280-4c7b-b70c-35481763a351,4/6/2023 8:43:06 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:13:47 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,D,1,JUBU,,A,,5+5,,Germinated,,,0,JUBU1,-119.843443618378,34.4130866315871
27,4407a390-c0bd-45c4-895b-c4edaf1eb1ab,4/6/2023 8:43:06 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:24:50 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,D,1,DEFA,,CP,,5,,other,Soil moisture,,0,0,-119.843448870522,34.4130625976191
28,0a304c5d-3fff-4896-b4e6-1c2ae104ad31,4/6/2023 8:43:07 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:23:48 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51.5,D,1,ELMA,,CP,,10,,other,Soil moisture,,0,0,-119.843458977945,34.413067331957
29,d37a02eb-fd97-4caf-96b6-b182aee88de3,4/6/2023 8:43:07 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:23:25 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51,D,1,JUBU,,IV,,5+5,,other,Soil moisture,,0,0,-119.843453396973,34.4130533688459
30,3d7dfe9c-7c14-45e0-9a4d-285e0c02455c,4/6/2023 8:43:08 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:23:04 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,52,D,1,JUBU,,A,,10,,other,Soil moisture,,0,0,-119.843448138114,34.4130570517873
31,6d017ab8-86f0-4e0b-b88c-1476d7bca1ca,4/6/2023 8:43:08 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:22:30 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,D,1,ELMA,,M,,5+5,,other,Soil moisture,,0,0,-119.843450582849,34.4130512817234
32,93d42d36-a9e8-4f42-bbc6-f989fbf5fa52,4/6/2023 8:43:09 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:22:06 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,D,1,ELMA,,CP,,5,,other,Soil moisture,,0,0,-119.843448150174,34.4130659390464
33,ed2f9685-ff04-4736-bc1c-a5ba5b7d9164,4/6/2023 8:43:10 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:13:30 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,D,1,DEFA,,IV,,10,,Germinated,,,0,DICOT1,-119.843442113471,34.4130628989078
34,0bd03fdb-cc1f-43f1-8059-e95c6560a763,4/6/2023 8:43:11 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:21:42 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47.5,D,1,ELMA,,IV,,5+5,,other,Soil moisture,,0,0,-119.843457373343,34.413077230163
35,f680f959-8288-4ced-846f-b053e3e6c139,4/6/2023 8:43:12 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:11:50 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,D,1,ELMA,,DC,,10,,Germinated,,,0,DICOT1,-119.843452112793,34.4130758187842
36,98d3f3c2-f1e4-4c6a-a4db-930a86b51529,4/6/2023 8:43:12 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:21:06 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,S,1,ELMA,,CP,,10,,other,Soil moisture,,0,0,-119.843437437898,34.4130708355608
37,92d1e30d-b1e2-4632-aadb-ec977d517e65,4/6/2023 8:43:13 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:20:43 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,S,1,DEFA,,CP,,5,,other,Soil moisture,,0,0,-119.84346334975,34.4130727110462
38,f87728dc-2159-497c-a770-ffba9d503691,4/6/2023 8:43:13 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:20:20 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,S,1,ELMA,,M,,5,,other,Soil moisture,,0,0,-119.843456588954,34.413074682557
39,70815798-92a0-4744-b0c3-a2e771993de9,4/6/2023 8:43:14 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:19:53 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,S,1,DEFA,,M,,5+5,,other,Soil moisture,,0,0,-119.843453022321,34.4130713144076
40,108fa06d-e0f0-40fa-8e88-10c1da64f118,4/6/2023 8:43:15 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:19:27 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,S,1,ELMA,,DC,,5+5,,other,Soil moisture,,0,0,-119.843444667546,34.4130714445721
41,df23c21f-8c06-4370-9b06-8dd4e88aaa5b,4/6/2023 8:43:15 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:15:37 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,46.5,S,1,ELMA,,DC,,5,,other,Soil moisture,,0,0,-119.843448003662,34.4130725326215
42,8b2ede25-9fe1-4076-a4d0-9a03268594ef,4/6/2023 8:43:15 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:15:01 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,52,S,1,JUBU,,A,,10,,other,Soil moisture,,0,0,-119.843454325496,34.4130707248186
43,50dcd6ae-8b2e-4466-83ee-faa7476dfa48,4/6/2023 8:43:16 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:14:01 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,S,1,ELMA,,IV,,5,,other,Soil moisture,,0,0,-119.843444855199,34.4130708503044
44,bff31af9-88ad-41ae-aa33-6420020a115f,4/6/2023 8:43:17 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:13:33 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,S,1,JUBU,,IV,,5+5,,other,Soil moisture,,0,0,-119.843446947128,34.4130624592636
45,df4c9146-e808-4536-b100-7051b8f02b1a,4/6/2023 8:43:18 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:12:58 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,S,1,ELMA,,CP,,5,,other,Soil moisture,,0,0,-119.843449070259,34.413060234168
46,ac538070-2e35-48dd-badd-a59d0e18fbf3,4/6/2023 8:43:19 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:12:30 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,S,1,JUBU,,M,,5+5,,other,Soil moisture,,0,0,-119.843447208681,34.4130620422772
47,0ec12d3d-6509-4c2a-926b-ef3ee6af3ec6,4/6/2023 8:43:19 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:12:03 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,46,S,1,JUBU,,IV,,10,,other,Soil moisture,,0,0,-119.843441523624,34.4130571022065
48,3c018914-dba1-453f-a695-0ad22b4e2397,4/6/2023 8:43:20 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:11:28 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47.5,S,1,ELMA,,IV,,10,,other,Soil moisture,,0,0,-119.843435901946,34.4130504921362
49,616c866f-e287-4118-a46c-188aa9a63e6c,4/6/2023 8:43:20 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:10:51 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,S,1,JUBU,,IV,,5+5,,other,Soil moisture,,0,0,-119.843440155322,34.413049147572
50,08269850-abfb-4436-95ba-79cc254f4169,4/6/2023 8:43:21 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:10:08 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47,S,1,DEFA,,CP,,5+5,,other,Soil moisture,,0,0,-119.84344465045,34.4130494291435
51,083b7fc6-fc4e-4684-9380-d84588ef3635,4/6/2023 8:43:22 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:10:50 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48.5,S,1,DEFA,,IV,,5,,Germinated,,,0,DICOT1,-119.843439582648,34.4130479265827
52,14f59a4d-d7bd-4ecd-b359-56d6f9cc7448,4/6/2023 8:43:23 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:09:38 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47.5,S,1,ELMA,,M,,10,,other,Soil moisture,,0,0,-119.843453445962,34.4130441385066
53,37b195ab-ce86-49fb-b37a-8b38e7fec51d,4/6/2023 8:43:24 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:08:58 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48.5,S,1,ELMA,,CP,,5+5,,other,Soil moisture,,0,0,-119.843440155677,34.4130551873176
54,edfa0246-ed55-4211-8270-7271022e53b8,4/6/2023 8:43:24 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:08:37 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48.5,S,1,JUBU,,IV,,5,,other,Soil moisture,,0,0,-119.843448586491,34.4130552334731
55,37d67558-b5a2-4fb6-b2f0-797995a86f62,4/6/2023 8:43:25 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:08:04 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47.5,S,1,DEFA,,A,,5+5,,other,Soil moisture,,0,0,-119.843446922412,34.4130471877277
56,4e1fd009-c95d-489e-bdaf-80c72ec7182e,4/6/2023 8:43:25 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:07:34 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48.5,S,1,JUBU,,M,,10,,other,Soil moisture,,0,0,-119.843450085794,34.413048277327
57,d871edb0-76a2-4415-9b41-c7f0721294a2,4/6/2023 8:43:26 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:07:08 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,S,1,JUBU,,M,,5,,other,Soil moisture,,0,0,-119.843441202478,34.4130492674984
58,1a01f08b-818d-4a61-b3e0-35a62039de9e,4/6/2023 8:43:26 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:06:47 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51,S,1,ELMA,,IV,,5+5,,other,Soil moisture,,0,0,-119.843439951885,34.4130544827022
59,84efffc5-a0d6-44e5-9dc4-134d0d9d3c59,4/6/2023 8:43:27 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:06:17 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,S,1,JUBU,,A,,5,,other,Soil moisture,,0,0,-119.843428893056,34.4130544161351
60,1bd08dce-90e7-4185-9645-98c1b72615de,4/6/2023 8:43:27 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:05:54 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47,S,1,ELMA,,M,,5+5,,other,Soil moisture,,0,0,-119.843427778407,34.4130613811476
61,662d7e87-02b1-4829-a67e-46a3ba1ad29b,4/6/2023 8:43:28 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:05:28 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,S,1,DEFA,,M,,5,,other,Soil moisture,,0,0,-119.843439479103,34.4130788168624
62,30dfb38b-75de-4876-918b-a07bc78b37ce,4/6/2023 8:43:28 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:04:57 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,S,1,DEFA,,A,,5,,other,Soil moisture,,0,0,-119.843424687599,34.4130819425945
63,f8bdefcd-b114-4363-87fb-b587437eedf5,4/6/2023 8:43:29 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:04:28 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,53,S,1,DEFA,,IV,,10,,other,Soil moisture,,0,0,-119.843418287218,34.4130711992288
64,e4c51471-1b87-4249-8356-4fbaa01a0f1f,4/6/2023 8:43:29 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:03:58 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48.5,S,1,DEFA,,CP,,10,,other,Soil moisture,,0,0,-119.843417560595,34.4130710284256
65,a7caec93-12ab-4a71-94e0-bcab183b83d2,4/6/2023 8:43:30 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:03:29 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51.5,S,1,DEFA,,M,,10,,other,       Soil moisture,,0,0,-119.843436507368,34.4130663423267
66,41bff293-b003-4d12-8c9e-a537f2f0622b,4/6/2023 8:43:30 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:02:54 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,S,1,DEFA,,IV,,5+5,,other,Soil moisture,,0,0,-119.843433385905,34.4130737276066
67,3a1e72fa-b726-4540-8dd8-86001ca8f6cc,4/6/2023 8:43:31 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:02:26 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,S,1,DEFA,,A,,10,,other,Soil moisture,,0,0,-119.843434296528,34.4130729570867
68,bdb4be69-0c05-42dd-9ece-88ed73846643,4/6/2023 8:43:31 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:01:58 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,53.5,S,1,ELMA,,DC,,10,,other,Soil moisture,,0,0,-119.843433984971,34.4130638238203
69,79e38311-df9e-4160-9542-dc68400c3743,4/6/2023 8:43:32 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:01:16 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,H,2,ELMA,,M,,10,,other,Soil moisture,,19,0,-119.843467799764,34.4130460128815
70,018d8fbb-8107-4041-af2a-d6e140e15e53,4/6/2023 8:43:33 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:00:17 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,H,2,DEFA,,M,,5+5,,other,Soil moisture,,19,0,-119.843477383104,34.4130444304023
71,e7219016-f46c-4c2b-bac0-28cd113274b5,4/6/2023 8:43:34 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 10:59:22 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47.5,H,2,DEFA,,IV,,10,,other,Soil moisture,,19,0,-119.843476497452,34.4130473369915
72,5fe09a4f-379b-432f-a26c-f2a605c26766,4/6/2023 8:43:34 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 10:58:50 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47.5,H,2,JUBU,,IV,,10,,other,Soil moisture,,19,0,-119.843491064403,34.4130494828027
73,aff996a0-5e79-43d8-9245-ee4f0ede1ee0,4/6/2023 8:43:35 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 10:58:19 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,47,H,2,ELMA,,M,,5+5,,other,Soil moisture,,19,0,-119.843485973292,34.4130458086767
